engine,run_number,seed,patch_index,slum_occupants
netlogo,6,20260717,120,2
netlogo,6,20260717,121,2
netlogo,6,20260717,122,2
netlogo,6,20260717,123,2
netlogo,6,20260717,124,3
netlogo,6,20260717,125,3
netlogo,6,20260717,126,3
netlogo,6,20260717,127,3
netlogo,6,20260717,128,3
netlogo,6,20260717,129,3
netlogo,6,20260717,130,3
netlogo,6,20260717,131,3
netlogo,6,20260717,132,3
netlogo,6,20260717,133,3
netlogo,6,20260717,134,3
netlogo,6,20260717,135,3
netlogo,6,20260717,136,3
netlogo,6,20260717,137,4
netlogo,6,20260717,138,4
netlogo,6,20260717,139,4
netlogo,6,20260717,140,4
netlogo,6,20260717,141,4
netlogo,6,20260717,142,5
netlogo,6,20260717,143,6
netlogo,6,20260717,144,6
netlogo,6,20260717,145,6
netlogo,6,20260717,146,6
netlogo,7,20260718,1,2
netlogo,7,20260718,2,2
netlogo,7,20260718,3,2
netlogo,7,20260718,4,2
netlogo,7,20260718,5,2
netlogo,7,20260718,6,2
netlogo,7,20260718,7,2
netlogo,7,20260718,8,2
netlogo,7,20260718,9,2
netlogo,7,20260718,10,2
netlogo,7,20260718,11,2
netlogo,7,20260718,12,2
netlogo,7,20260718,13,2
netlogo,7,20260718,14,2
netlogo,7,20260718,15,2
netlogo,7,20260718,16,2
netlogo,7,20260718,17,2
netlogo,7,20260718,18,2
netlogo,7,20260718,19,2
netlogo,7,20260718,20,2
netlogo,7,20260718,21,2
netlogo,7,20260718,22,2
netlogo,7,20260718,23,2
netlogo,7,20260718,24,2
netlogo,7,20260718,25,2
netlogo,7,20260718,26,2
netlogo,7,20260718,27,2
netlogo,7,20260718,28,2
netlogo,7,20260718,29,2
netlogo,7,20260718,30,2
netlogo,7,20260718,31,2
netlogo,7,20260718,32,2
netlogo,7,20260718,33,2
netlogo,7,20260718,34,2
netlogo,7,20260718,35,2
netlogo,7,20260718,36,2
netlogo,7,20260718,37,2
netlogo,7,20260718,38,2
netlogo,7,20260718,39,2
netlogo,7,20260718,40,2
netlogo,7,20260718,41,2
netlogo,7,20260718,42,2
netlogo,7,20260718,43,2
netlogo,7,20260718,44,2
netlogo,7,20260718,45,2
netlogo,7,20260718,46,2
netlogo,7,20260718,47,2
netlogo,7,20260718,48,2
netlogo,7,20260718,49,2
netlogo,7,20260718,50,2
netlogo,7,20260718,51,2
netlogo,7,20260718,52,2
netlogo,7,20260718,53,2
netlogo,7,20260718,54,2
netlogo,7,20260718,55,2
netlogo,7,20260718,56,2
netlogo,7,20260718,57,2
netlogo,7,20260718,58,2
netlogo,7,20260718,59,2
netlogo,7,20260718,60,2
netlogo,7,20260718,61,2
netlogo,7,20260718,62,2
netlogo,7,20260718,63,2
netlogo,7,20260718,64,2
netlogo,7,20260718,65,2
netlogo,7,20260718,66,2
netlogo,7,20260718,67,2
netlogo,7,20260718,68,2
netlogo,7,20260718,69,2
netlogo,7,20260718,70,2
netlogo,7,20260718,71,2
netlogo,7,20260718,72,2
netlogo,7,20260718,73,2
netlogo,7,20260718,74,2
netlogo,7,20260718,75,2
netlogo,7,20260718,76,2
netlogo,7,20260718,77,2
netlogo,7,20260718,78,2
netlogo,7,20260718,79,2
netlogo,7,20260718,80,2
netlogo,7,20260718,81,2
netlogo,7,20260718,82,2
netlogo,7,20260718,83,2
netlogo,7,20260718,84,2
netlogo,7,20260718,85,2
netlogo,7,20260718,86,2
netlogo,7,20260718,87,2
netlogo,7,20260718,88,2
netlogo,7,20260718,89,2
netlogo,7,20260718,90,2
netlogo,7,20260718,91,2
netlogo,7,20260718,92,2
netlogo,7,20260718,93,2
netlogo,7,20260718,94,2
netlogo,7,20260718,95,2
netlogo,7,20260718,96,2
netlogo,7,20260718,97,2
netlogo,7,20260718,98,2
netlogo,7,20260718,99,2
netlogo,7,20260718,100,2
netlogo,7,20260718,101,2
netlogo,7,20260718,102,2
netlogo,7,20260718,103,2
netlogo,7,20260718,104,2
netlogo,7,20260718,105,2
netlogo,7,20260718,106,2
netlogo,7,20260718,107,2
netlogo,7,20260718,108,2
netlogo,7,20260718,109,2
netlogo,7,20260718,110,2
