bundle_id,seed,promotive_level,risk_level,schools_promotive,schools_risk,neighborhood_promotive,neighborhood_risk,antisocial_experience_score,prosocial_experience_score,percent_antisocial,family_risk_mean,family_promotive_mean,school_risk_mean,school_promotive_mean,neighborhood_risk_mean,neighborhood_promotive_mean
443,8,50,75,50,50,25,50,215.73000000001,107.28733333333,0.586666666667,0.394331600235,0.341823913708,0.336705108633,0.376051032273,0.341037770729,0.240404900386
443,9,50,75,50,50,25,50,185.146000000008,120.923999999996,0.513333333333,0.369559822245,0.34907044549,0.314776612575,0.319486292341,0.352353129019,0.240233332925
443,10,50,75,50,50,25,50,238.413333333347,97.452666666664,0.6,0.420411472431,0.331868076222,0.349126027338,0.336608771166,0.364872203636,0.230322577549
444,1,50,75,50,50,25,75,251.028000000018,110.478666666663,0.566666666667,0.403339125235,0.34143278559,0.363313457775,0.318321638686,0.405054818712,0.243761900592
444,2,50,75,50,50,25,75,236.827333333349,116.937999999996,0.56,0.414639736691,0.340890522078,0.317659485301,0.381220030222,0.40174296179,0.241512647841
444,3,50,75,50,50,25,75,223.489333333348,118.625333333329,0.52,0.387819891912,0.322205095499,0.353782123573,0.363446825339,0.385452871923,0.246920599556
444,4,50,75,50,50,25,75,243.883333333349,109.675999999996,0.566666666667,0.401157092984,0.335486584022,0.323791395555,0.361564335082,0.400246730993,0.234348946701
444,5,50,75,50,50,25,75,254.190000000018,106.66733333333,0.586666666667,0.400775217328,0.339193800289,0.383876565944,0.332593349208,0.393308385637,0.238764778012
444,6,50,75,50,50,25,75,252.490666666684,108.485999999996,0.586666666667,0.413030670276,0.355151260027,0.364696352854,0.352350113355,0.391264343553,0.248858898373
444,7,50,75,50,50,25,75,212.681333333345,116.889999999996,0.526666666667,0.365512490394,0.362949022994,0.309289813942,0.348155133201,0.383433975003,0.228348638614
444,8,50,75,50,50,25,75,243.738666666683,113.333999999996,0.553333333333,0.401966329324,0.348788894279,0.336705108633,0.376051032273,0.403567788079,0.240832997066
444,9,50,75,50,50,25,75,214.320666666679,117.804666666663,0.526666666667,0.347140858964,0.3094706039,0.314776612575,0.319486292341,0.408073466819,0.244324997036
444,10,50,75,50,50,25,75,256.318666666686,103.221999999997,0.566666666667,0.409433325009,0.340658548084,0.349126027338,0.336608771166,0.409511587516,0.229219365459
445,1,50,75,50,50,50,25,131.460666666662,149.926666666668,0.553333333333,0.397579986208,0.358111653795,0.363313457775,0.318321638686,0.24709598129,0.339423254231
445,2,50,75,50,50,50,25,124.837999999996,159.730666666671,0.58,0.431219927091,0.352206290646,0.317659485301,0.381220030222,0.244043482621,0.364788866127
445,3,50,75,50,50,50,25,116.555999999996,168.00666666667,0.5,0.39193866506,0.349985181208,0.353782123573,0.363446825339,0.235415105507,0.3590834753
445,4,50,75,50,50,50,25,120.197999999996,160.299333333336,0.526666666667,0.373799871058,0.34077813928,0.323791395555,0.361564335082,0.242807955638,0.348361160695
445,5,50,75,50,50,50,25,123.871999999996,149.425333333336,0.56,0.389931584217,0.339160058078,0.383876565944,0.332593349208,0.22937702952,0.345884239074
445,6,50,75,50,50,50,25,127.275999999995,152.192666666668,0.553333333333,0.41855645378,0.366704007106,0.364696352854,0.352350113355,0.235752924105,0.344433749585
445,7,50,75,50,50,50,25,117.539333333329,160.904666666669,0.526666666667,0.381646503433,0.35816179634,0.309289813942,0.348155133201,0.240517458913,0.347497089605
445,8,50,75,50,50,50,25,134.657999999995,139.811333333334,0.573333333333,0.391115995652,0.338875813569,0.336705108633,0.376051032273,0.237137514541,0.333500608394
