experiment,parameter_condition,staying-power,percent-inappropriate-land,informalityindex,percent-prime-land,initialcitylimit,popgrowthrate,SimulationRuntime,Politics,Develop,price-sensitivity,diffusion-rate,economicgrowthrate,initialinequality,step,metric,netlogo_n,netlogo_finite_n,netlogo_nonfinite_n,netlogo_mean,netlogo_stdev,netlogo_min,netlogo_q25,netlogo_median,netlogo_q75,netlogo_max,mesa_n,mesa_finite_n,mesa_nonfinite_n,mesa_mean,mesa_stdev,mesa_min,mesa_q25,mesa_median,mesa_q75,mesa_max,mean_difference_mesa_minus_netlogo,absolute_mean_difference,relative_mean_difference
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,2,peripheryslumpoppercent,30,30,0,0.1607358992979908,0.6118903133414457,0.0,0.0,0.0,0.0,2.4691358024691357,30,30,0,0.4057406094968108,0.9230811381010918,0.0,0.0,0.0,0.0,2.5,0.24500471019882,0.24500471019882,1.524268761794165
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,2,slum-density,30,30,0,2.3069063344063343,0.23737897635515814,2.0,2.1488095238095237,2.3166666666666664,2.415178571428571,3.1666666666666665,30,30,0,2.432879527879528,0.3384941255879763,2.0,2.1653846153846152,2.354166666666667,2.5674603174603177,3.2,0.12597319347319358,0.12597319347319358,0.0546069823444357
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,2,slumareapercent,30,30,0,2.543695044466484,0.6599483588288022,1.6085790884718498,2.1462134970740006,2.429154221607052,3.0034171617456558,4.371584699453552,30,30,0,2.2522087835524123,0.5550561883478609,1.3262599469496021,1.8944623971797887,2.287844535257804,2.6275420757363253,3.5422343324250685,-0.2914862609140716,0.2914862609140716,-0.11459166913430384
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,2,slumpoppercent,30,30,0,0.05602094240837696,0.01173941338246586,0.03926701570680628,0.04712041884816754,0.05366492146596859,0.06806282722513089,0.08376963350785341,30,30,0,0.05226876090750436,0.010814977354433085,0.02617801047120419,0.047774869109947646,0.05366492146596859,0.05759162303664921,0.07329842931937172,-0.0037521815008726006,0.0037521815008726006,-0.06697819314641745
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,3,central-num-slums,30,30,0,12.6,2.90777791686248,7.0,11.0,12.0,14.75,20.0,30,30,0,12.066666666666666,3.0618152530285303,5.0,10.25,12.0,13.75,19.0,-0.5333333333333332,0.5333333333333332,-0.04232804232804232
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,3,central-slum-density,30,30,0,2.319390933140933,0.2383000212856236,2.0,2.1863636363636365,2.272727272727273,2.45979020979021,2.9,30,30,0,2.4181201449622503,0.3078246132147501,2.0,2.2155870445344132,2.3452380952380953,2.6115384615384616,3.0833333333333335,0.09872921182131744,0.09872921182131744,0.042566869780601306
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,3,centralslumareapercent,30,30,0,4.445058297467879,1.0271097407534697,2.5089605734767026,3.8461538461538463,4.2105263157894735,5.192920022476119,7.06713780918728,30,30,0,4.257393479137928,1.0783458094126122,1.7543859649122806,3.6017337718708355,4.270516717325227,4.888278807290476,6.690140845070422,-0.1876648183299512,0.1876648183299512,-0.04221875299967476
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,3,centralslumpoppercent,30,30,0,9.560592723545856,1.7173856147069089,6.506849315068493,8.305647840531561,9.284787009329344,10.907155120515508,13.157894736842104,30,30,0,9.559899985128222,2.193525109017502,4.745762711864407,8.501146724841975,9.531080461313021,11.102062975027144,13.680781758957655,-0.0006927384176336204,0.0006927384176336204,-7.245768517338283e-05
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,3,num-slums,30,30,0,13.033333333333333,2.988291327409572,8.0,11.0,12.0,15.0,20.0,30,30,0,12.766666666666667,2.990598294809843,7.0,11.0,13.5,14.0,20.0,-0.2666666666666657,0.2666666666666657,-0.020460358056265913
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,3,peripheral-num-slums,30,30,0,0.43333333333333335,0.6789105539243627,0.0,0.0,0.0,1.0,2.0,30,30,0,0.7,0.7022132498578064,0.0,0.0,1.0,1.0,2.0,0.2666666666666666,0.2666666666666666,0.6153846153846152
